Issue Key,Issue Type,Status,Priority,Summary,Description,Component/s,Affects Version/s,Fix Version/s,Assignee,Reporter,Created,Updated,Resolved,Resolution,Labels,Story Points,Epic Link,Sprint,Module,Root Cause,Defect Category,Business Impact,Customer Impact
ECOM-1505,Bug,To Do,High,Search results not displaying correctly with multiple filters,Performance degradation noticed when search results not displaying correctly with multiple filters. Users are experiencing slow response times.,Search Engine,v2.1.0,,david.chen,customer.support,2023-01-10,2023-06-12,,,"search,suggestions,active""",4,,SPRINT-99,Search for Products,Integration Issue,Performance,Medium,Low
ECOM-1506,Bug,To Do,Low,Product reviews not showing for featured products,Performance degradation noticed when product reviews not showing for featured products. Users are experiencing slow response times.,Inventory System,v2.1.0,,mobile.tester,jane.smith,2023-05-12,2023-07-22,,,"product,reviews,active""",1,,SPRINT-67,Product Management,Configuration Issue,Enhancement,Medium,Low
ECOM-1507,Bug,Reopened,Low,Payment error messages unclear with gift cards,Critical functionality broken for payment error messages unclear with gift cards. This is causing customer complaints and potential revenue loss.,Payment UI,v2.0.5,,performance.team,sarah.wilson,2024-05-11,2024-10-02,,,"""email,order""",1,EPIC-005,SPRINT-46,Checkout and Payment,State Management,Security,Low,Low
ECOM-1508,Bug,In Progress,High,Search by category failing in specific browsers,System fails to properly handle search by category failing in specific browsers. Multiple users have reported this issue across different browsers.,Search History,v2.1.6,,payment.team,finance.dept,2024-06-16,2024-10-03,,,"search,suggestions,active""",4,,SPRINT-6,Search for Products,Integration Issue,Performance,Low,Critical
ECOM-1509,Bug,Resolved,Low,Category performance issues with sort options,Performance degradation noticed when category performance issues with sort options. Users are experiencing slow response times.,Category Display,v2.2.1,v2.1.6,ux.team,qa.tester,2024-06-20,2024-12-10,2024-12-10,Cannot Reproduce,"""performance,data""",2,,SPRINT-94,Browse Products by Category,Configuration Issue,UI/UX,Low,High
ECOM-1510,Bug,Reopened,High,Payment confirmation issues with saved payment methods,System fails to properly handle payment confirmation issues with saved payment methods. Multiple users have reported this issue across different browsers.,Payment Validation,v2.1.6,,sarah.wilson,qa.tester,2024-09-29,2024-12-03,,,"""order,security""",5,EPIC-001,SPRINT-22,Checkout and Payment,Logic Error,Critical,Low,Critical
ECOM-1511,Bug,Reopened,High,Cart UI display issues during peak hours,Inconsistent behavior observed when cart ui display issues during peak hours. The issue appears to be intermittent and affects certain user segments.,Mobile UI,v2.1.7,,frontend.dev,data.analyst,2023-05-06,2023-11-11,,,"""calculation,validation""",4,,SPRINT-77,Add Products to Cart,Asset Loading,Functional,High,High
ECOM-1512,Bug,To Do,High,Wishlist items not saving for guest users,Inconsistent behavior observed when wishlist items not saving for guest users. The issue appears to be intermittent and affects certain user segments.,Wishlist UI,v2.1.5,,admin.user,qa.tester,2023-07-28,2024-08-28,,,"notifications,notifications,active""",5,,SPRINT-65,Wishlist and Favorites,Session Issue,Functional,Critical,Medium
ECOM-1513,Bug,In Progress,Critical,Duplicate transaction issues for subscription items,Critical functionality broken for duplicate transaction issues for subscription items. This is causing customer complaints and potential revenue loss.,Payment System,v2.1.3,,security.team,jane.smith,2023-05-09,2023-10-17,,,"validation,order,active""",5,EPIC-002,SPRINT-2,Checkout and Payment,Calculation Error,Data Integrity,Medium,Medium
ECOM-1514,Bug,Resolved,Medium,Product comparison not working for featured products,System fails to properly handle product comparison not working for featured products. Multiple users have reported this issue across different browsers.,Product Images,v2.1.1,v2.0.9,ui.designer,qa.tester,2023-12-05,2024-07-01,2024-07-01,Cannot Reproduce,"""reviews,display""",2,,SPRINT-92,Product Management,Business Logic,Critical,High,Medium
ECOM-1515,Bug,Open,Low,Search results not displaying correctly with advanced options,Users experiencing issues when trying to search results not displaying correctly with advanced options. This affects user experience and may impact conversion rates.,Search UI,v2.2.0,,,jane.smith,2023-05-10,2023-11-01,,,"search,pagination,active""",1,,SPRINT-52,Search for Products,Storage Issue,Data Integrity,Critical,Medium
ECOM-1516,Bug,Reopened,Critical,Profile update not saving on mobile devices,Inconsistent behavior observed when profile update not saving on mobile devices. The issue appears to be intermittent and affects certain user segments.,Password System,v2.1.5,,mike.johnson,sarah.wilson,2023-10-18,2024-11-27,,,"""password,password""",8,EPIC-008,SPRINT-42,User Account Management,CSS Issue,UI/UX,High,Critical
ECOM-1517,Bug,Open,High,Duplicate transaction issues during high traffic,Users experiencing issues when trying to duplicate transaction issues during high traffic. This affects user experience and may impact conversion rates.,Error Handling,v2.0.5,,,admin.user,2023-07-15,2023-09-21,,,"order,flow,active""",4,EPIC-010,SPRINT-12,Checkout and Payment,Database Sync,Data Integrity,Medium,Low
ECOM-1518,Bug,In Progress,Low,Category images not loading with many subcategories,Performance degradation noticed when category images not loading with many subcategories. Users are experiencing slow response times.,Mobile Navigation,v2.2.1,,backend.dev,jane.smith,2023-09-28,2024-09-23,,,"navigation,ui,active""",1,,SPRINT-80,Browse Products by Category,Logic Error,Performance,Low,Low
ECOM-1519,Bug,Closed,Low,Product description formatting issues with multiple images,Inconsistent behavior observed when product description formatting issues with multiple images. The issue appears to be intermittent and affects certain user segments.,Price Display,v2.1.3,v2.1.6,data.team,business.analyst,2023-06-10,2024-08-19,2024-08-19,Cannot Reproduce,"""reviews,reviews""",2,,SPRINT-98,Product Management,Session Issue,Functional,Medium,High
ECOM-1520,Bug,Open,Critical,Product description formatting issues for out of stock items,Users experiencing issues when trying to product description formatting issues for out of stock items. This affects user experience and may impact conversion rates.,Product Display,v2.1.3,,,sarah.wilson,2024-08-20,2024-11-07,,,"product,display,active""",5,,SPRINT-62,Product Management,Session Issue,Security,High,High
ECOM-1521,Bug,Open,Medium,Multiple items addition failing for guest users,Inconsistent behavior observed when multiple items addition failing for guest users. The issue appears to be intermittent and affects certain user segments.,Session Management,v2.1.0,,,jane.smith,2023-09-15,2024-04-15,,,"session,session,active""",2,,SPRINT-79,Add Products to Cart,Database Sync,Enhancement,Critical,Medium
ECOM-1522,Bug,Reopened,Medium,Order invoice generation failing for recurring orders,Inconsistent behavior observed when order invoice generation failing for recurring orders. The issue appears to be intermittent and affects certain user segments.,Order History,v2.1.3,,performance.team,mobile.tester,2023-09-07,2024-09-04,,,"""returns,tracking""",2,,SPRINT-59,Order Management,Database Query,Security,High,Low
ECOM-1523,Bug,In Progress,Medium,Wishlist persistence problems for multiple lists,Critical functionality broken for wishlist persistence problems for multiple lists. This is causing customer complaints and potential revenue loss.,Wishlist UI,v2.1.4,,john.doe,ui.designer,2023-08-04,2024-10-11,,,"notifications,ui,active""",3,,SPRINT-73,Wishlist and Favorites,Event Handling,Security,Low,High
ECOM-1524,Bug,In Progress,Critical,Order cancellation failing with custom requests,Users experiencing issues when trying to order cancellation failing with custom requests. This affects user experience and may impact conversion rates.,Order Processing,v2.1.5,,ux.team,ui.designer,2024-07-27,2024-08-02,,,"history,tracking,active""",8,,SPRINT-78,Order Management,State Management,Performance,Low,High
ECOM-1525,Bug,To Do,Low,Payment methods not displaying for subscription items,Performance degradation noticed when payment methods not displaying for subscription items. Users are experiencing slow response times.,Payment Validation,v2.1.0,,lisa.taylor,ui.designer,2023-04-23,2024-10-04,,,"order,payment,active""",1,EPIC-009,SPRINT-4,Checkout and Payment,Calculation Error,Security,Critical,High
ECOM-1526,Bug,Open,Critical,Payment form validation problems with discount codes,Users experiencing issues when trying to payment form validation problems with discount codes. This affects user experience and may impact conversion rates.,Email System,v2.1.0,,,jane.smith,2023-10-22,2024-02-22,,,"flow,order,active""",8,EPIC-003,SPRINT-12,Checkout and Payment,Algorithm Issue,Functional,Low,Low
ECOM-1527,Bug,To Do,High,Cart items disappearing on mobile devices,System fails to properly handle cart items disappearing on mobile devices. Multiple users have reported this issue across different browsers.,Session Management,v2.1.4,,sarah.wilson,qa.tester,2024-02-15,2024-04-10,,,"mobile,calculation,active""",3,,SPRINT-90,Add Products to Cart,Async Processing,UI/UX,Critical,High
ECOM-1528,Bug,Resolved,Medium,Order tracking not working for international shipping,Critical functionality broken for order tracking not working for international shipping. This is causing customer complaints and potential revenue loss.,Order Cancellation,v2.1.9,v2.1.7,john.doe,qa.tester,2023-01-31,2023-11-22,2023-11-22,Duplicate,"""tracking,returns""",2,,SPRINT-2,Order Management,Calculation Error,Functional,Medium,Low
ECOM-1529,Bug,Open,Low,Profile update not saving for existing users,System fails to properly handle profile update not saving for existing users. Multiple users have reported this issue across different browsers.,Profile Management,v2.1.5,,,ui.designer,2024-07-28,2024-12-21,,,"user,authentication,active""",2,EPIC-007,SPRINT-24,User Account Management,Algorithm Issue,UI/UX,High,Low
ECOM-1530,Bug,Resolved,Medium,Product comparison not working for out of stock items,System fails to properly handle product comparison not working for out of stock items. Multiple users have reported this issue across different browsers.,Product Details,v2.2.0,v2.1.4,order.team,admin.user,2024-11-29,2024-12-29,2024-12-29,Duplicate,"""product,reviews""",3,,SPRINT-14,Product Management,Database Sync,Critical,Medium,Critical
ECOM-1531,Bug,In Progress,High,Cart checkout button disabled with bulk quantities,Users experiencing issues when trying to cart checkout button disabled with bulk quantities. This affects user experience and may impact conversion rates.,Cart Calculation,v2.2.1,,mobile.tester,data.analyst,2024-09-20,2024-11-15,,,"mobile,validation,active""",3,,SPRINT-47,Add Products to Cart,Event Handling,Data Integrity,Critical,Low
ECOM-1532,Bug,In Progress,Low,Password reset failing for enterprise accounts,Users experiencing issues when trying to password reset failing for enterprise accounts. This affects user experience and may impact conversion rates.,User Authentication,v2.0.5,,ui.designer,jane.smith,2024-04-02,2024-07-25,,,"profile,registration,active""",1,EPIC-010,SPRINT-94,User Account Management,State Management,Critical,Medium,Medium
ECOM-1533,Bug,Reopened,High,Wishlist privacy settings broken with custom notes,Critical functionality broken for wishlist privacy settings broken with custom notes. This is causing customer complaints and potential revenue loss.,Wishlist System,v2.1.2,,backend.dev,jane.smith,2023-12-09,2024-11-08,,,"""favorites,favorites""",4,,SPRINT-82,Wishlist and Favorites,Error Handling,Enhancement,Low,Medium
ECOM-1534,Bug,Reopened,Critical,Product variants not selectable for variant products,Performance degradation noticed when product variants not selectable for variant products. Users are experiencing slow response times.,Product Images,v2.1.2,,ux.team,admin.user,2024-04-26,2024-07-03,,,"""display,reviews""",8,,SPRINT-36,Product Management,Logic Error,Security,Critical,High
ECOM-1535,Bug,Closed,High,Product comparison not working with complex pricing,Critical functionality broken for product comparison not working with complex pricing. This is causing customer complaints and potential revenue loss.,Product Images,v2.1.6,v2.0.5,payment.team,compliance.officer,2024-10-22,2024-10-23,2024-10-23,Cannot Reproduce,"""display,inventory""",5,,SPRINT-28,Product Management,Configuration Issue,Critical,Low,High
ECOM-1536,Bug,To Do,Low,Duplicate transaction issues with discount codes,Users experiencing issues when trying to duplicate transaction issues with discount codes. This affects user experience and may impact conversion rates.,Order System,v2.1.2,,mike.johnson,mobile.tester,2024-12-03,2024-12-15,,,"security,email,active""",1,EPIC-008,SPRINT-59,Checkout and Payment,Database Query,Security,Low,Critical
ECOM-1537,Bug,Open,Critical,Order notification not sent for recurring orders,System fails to properly handle order notification not sent for recurring orders. Multiple users have reported this issue across different browsers.,Order Processing,v2.1.1,,,mobile.tester,2023-11-10,2023-11-11,,,"status,order,active""",5,,SPRINT-90,Order Management,Async Processing,UI/UX,High,Critical
ECOM-1538,Bug,Reopened,High,Account registration issues for new registrations,Performance degradation noticed when account registration issues for new registrations. Users are experiencing slow response times.,Registration System,v2.1.0,,lisa.taylor,ui.designer,2023-07-25,2024-03-25,,,"""user,profile""",5,EPIC-004,SPRINT-40,User Account Management,Input Validation,Critical,Medium,High
ECOM-1539,Bug,In Progress,Critical,Wishlist privacy settings broken with price alerts,Critical functionality broken for wishlist privacy settings broken with price alerts. This is causing customer complaints and potential revenue loss.,Favorites Management,v2.2.0,,performance.team,compliance.officer,2024-11-13,2024-12-18,,,"wishlist,favorites,active""",5,,SPRINT-3,Wishlist and Favorites,Integration Issue,Critical,High,Medium
ECOM-1540,Bug,Open,Medium,Wishlist sharing not working for guest users,Inconsistent behavior observed when wishlist sharing not working for guest users. The issue appears to be intermittent and affects certain user segments.,Wishlist Persistence,v2.0.9,,,jane.smith,2023-08-16,2024-04-16,,,"sharing,favorites,active""",2,,SPRINT-58,Wishlist and Favorites,Database Query,Critical,Critical,Low
ECOM-1541,Bug,Resolved,Low,Payment confirmation issues for guest checkout,Performance degradation noticed when payment confirmation issues for guest checkout. Users are experiencing slow response times.,Payment UI,v2.1.9,v2.1.5,performance.team,data.analyst,2024-12-16,2024-12-18,2024-12-18,Duplicate,"""flow,flow""",2,EPIC-009,SPRINT-41,Checkout and Payment,Algorithm Issue,Enhancement,Critical,Low
ECOM-1542,Bug,Closed,Critical,Social login not working with multiple profiles,Performance degradation noticed when social login not working with multiple profiles. Users are experiencing slow response times.,Login System,v2.2.2,v2.1.3,david.chen,ui.designer,2024-03-27,2024-05-21,2024-05-21,Fixed,"""registration,login""",5,EPIC-008,SPRINT-1,User Account Management,Async Processing,UI/UX,Medium,Low
ECOM-1543,Bug,In Progress,Low,Wishlist export not working with custom notes,Performance degradation noticed when wishlist export not working with custom notes. Users are experiencing slow response times.,Favorites Management,v2.1.3,,ui.designer,finance.dept,2024-04-25,2024-11-02,,,"ui,wishlist,active""",2,,SPRINT-32,Wishlist and Favorites,Asset Loading,Enhancement,Critical,Critical
ECOM-1544,Bug,In Progress,High,Wishlist UI display issues for multiple lists,Users experiencing issues when trying to wishlist ui display issues for multiple lists. This affects user experience and may impact conversion rates.,Wishlist Notifications,v2.1.4,,mike.johnson,ui.designer,2024-11-27,2024-12-14,,,"ui,notifications,active""",5,,SPRINT-61,Wishlist and Favorites,Event Handling,Functional,Low,Critical
ECOM-1545,Bug,To Do,High,Cart checkout button disabled for guest users,System fails to properly handle cart checkout button disabled for guest users. Multiple users have reported this issue across different browsers.,Input Validation,v2.2.1,,sarah.wilson,data.analyst,2024-12-25,2024-12-25,,,"cart,mobile,active""",4,,SPRINT-3,Add Products to Cart,Session Issue,Security,Medium,High
ECOM-1546,Bug,Closed,Medium,Cart checkout button disabled with promotional items,Critical functionality broken for cart checkout button disabled with promotional items. This is causing customer complaints and potential revenue loss.,Mobile UI,v2.0.5,v2.1.4,order.team,mobile.tester,2023-01-25,2024-10-26,2024-10-26,Cannot Reproduce,"""calculation,cart""",2,,SPRINT-92,Add Products to Cart,Configuration Issue,UI/UX,Medium,High
ECOM-1547,Bug,Closed,High,Category images not loading for specific brands,Critical functionality broken for category images not loading for specific brands. This is causing customer complaints and potential revenue loss.,Performance System,v2.1.6,v2.1.0,admin.user,ui.designer,2024-07-19,2024-11-23,2024-11-23,Fixed,"""performance,performance""",4,,SPRINT-23,Browse Products by Category,Algorithm Issue,UI/UX,High,High
ECOM-1548,Bug,In Progress,High,Order confirmation email not sent during high traffic,Inconsistent behavior observed when order confirmation email not sent during high traffic. The issue appears to be intermittent and affects certain user segments.,Payment UI,v2.1.1,,backend.dev,ui.designer,2024-01-01,2024-01-14,,,"order,order,active""",5,EPIC-010,SPRINT-93,Checkout and Payment,CSS Issue,Security,High,Critical
ECOM-1549,Bug,Reopened,Critical,Order status not updating for gift orders,Performance degradation noticed when order status not updating for gift orders. Users are experiencing slow response times.,Order Tracking,v2.1.5,,john.doe,product.manager,2024-03-22,2024-11-05,,,"""returns,status""",8,,SPRINT-9,Order Management,Database Query,UI/UX,Medium,Medium
ECOM-1550,Bug,Closed,High,Cart items disappearing for guest users,Users experiencing issues when trying to cart items disappearing for guest users. This affects user experience and may impact conversion rates.,Cart UI,v2.1.0,v2.1.0,admin.user,compliance.officer,2023-03-10,2024-11-05,2024-11-05,Duplicate,"""ui,cart""",3,,SPRINT-77,Add Products to Cart,Business Logic,Functional,Low,High
ECOM-1551,Bug,To Do,Low,Cart checkout button disabled with multiple variants,Inconsistent behavior observed when cart checkout button disabled with multiple variants. The issue appears to be intermittent and affects certain user segments.,Cart Calculation,v2.2.0,,ui.designer,finance.dept,2023-12-28,2024-02-20,,,"calculation,calculation,active""",2,,SPRINT-65,Add Products to Cart,Business Logic,Data Integrity,High,Low
ECOM-1552,Bug,Closed,Critical,Category sorting not working in grid view,Critical functionality broken for category sorting not working in grid view. This is causing customer complaints and potential revenue loss.,Performance System,v2.1.4,v2.2.1,lisa.taylor,customer.support,2024-05-26,2024-11-11,2024-11-11,Cannot Reproduce,"""data,category""",8,,SPRINT-58,Browse Products by Category,Configuration Issue,Functional,Low,Low
ECOM-1553,Bug,To Do,Critical,Wishlist removal not working for bulk operations,Users experiencing issues when trying to wishlist removal not working for bulk operations. This affects user experience and may impact conversion rates.,Favorites Management,v2.1.3,,ux.team,data.analyst,2023-12-19,2024-09-25,,,"sharing,notifications,active""",5,,SPRINT-31,Wishlist and Favorites,Routing Issue,Functional,Critical,Low
ECOM-1554,Bug,Open,High,Order tracking not working for bulk orders,Critical functionality broken for order tracking not working for bulk orders. This is causing customer complaints and potential revenue loss.,Order Processing,v2.1.5,,,business.analyst,2023-11-16,2024-08-19,,,"processing,processing,active""",5,,SPRINT-2,Order Management,Input Validation,Performance,Medium,Low
ECOM-1555,Bug,Resolved,Low,Payment processing hanging during high traffic,Performance degradation noticed when payment processing hanging during high traffic. Users are experiencing slow response times.,Payment Flow,v2.0.8,v2.2.0,session.team,finance.dept,2024-05-04,2024-08-13,2024-08-13,Fixed,"""validation,email""",1,EPIC-009,SPRINT-54,Checkout and Payment,Input Validation,Security,High,High
ECOM-1556,Bug,Resolved,High,Order return process broken with expedited delivery,Inconsistent behavior observed when order return process broken with expedited delivery. The issue appears to be intermittent and affects certain user segments.,Order Status,v2.2.0,v2.1.1,ui.designer,data.analyst,2023-07-06,2023-12-03,2023-12-03,Fixed,"""status,order""",5,,SPRINT-36,Order Management,Storage Issue,Critical,High,Critical
ECOM-1557,Bug,Reopened,Medium,Profile update not saving for new registrations,Performance degradation noticed when profile update not saving for new registrations. Users are experiencing slow response times.,Password System,v2.1.9,,ui.designer,compliance.officer,2023-04-12,2023-04-12,,,"""login,profile""",2,EPIC-010,SPRINT-17,User Account Management,Validation Logic,Data Integrity,Low,High
ECOM-1558,Bug,Reopened,Low,Payment error messages unclear with gift cards,Performance degradation noticed when payment error messages unclear with gift cards. Users are experiencing slow response times.,Order System,v2.1.5,,ui.designer,jane.smith,2024-03-05,2024-12-05,,,"""order,email""",2,EPIC-004,SPRINT-100,Checkout and Payment,Logic Error,Performance,Critical,Medium
ECOM-1559,Bug,Closed,Low,User preferences not saving with multiple profiles,System fails to properly handle user preferences not saving with multiple profiles. Multiple users have reported this issue across different browsers.,Password System,v2.1.4,v2.1.4,lisa.taylor,ui.designer,2023-06-17,2024-11-21,2024-11-21,Won't Fix,"""registration,profile""",1,EPIC-001,SPRINT-14,User Account Management,Asset Loading,Critical,High,Medium
ECOM-1560,Bug,To Do,Critical,Order shipping details wrong with custom requests,Users experiencing issues when trying to order shipping details wrong with custom requests. This affects user experience and may impact conversion rates.,Order Tracking,v2.2.2,,john.doe,finance.dept,2024-09-01,2024-12-19,,,"status,processing,active""",8,,SPRINT-55,Order Management,Algorithm Issue,UI/UX,Low,Low
ECOM-1561,Bug,Closed,High,Advanced search not functioning on slow connections,Critical functionality broken for advanced search not functioning on slow connections. This is causing customer complaints and potential revenue loss.,Pagination System,v2.1.4,v2.1.2,backend.dev,sarah.wilson,2024-01-12,2024-06-11,2024-06-11,Duplicate,"""history,suggestions""",4,,SPRINT-85,Search for Products,CSS Issue,Critical,Low,Low
ECOM-1562,Bug,Closed,Low,Profile update not saving on tablet devices,Performance degradation noticed when profile update not saving on tablet devices. Users are experiencing slow response times.,Login System,v2.1.3,v2.1.8,admin.user,mobile.tester,2023-11-28,2024-03-22,2024-03-22,Duplicate,"""user,registration""",1,EPIC-008,SPRINT-69,User Account Management,Integration Issue,Data Integrity,Critical,Low
ECOM-1563,Bug,Closed,High,Wishlist organization issues with price alerts,Users experiencing issues when trying to wishlist organization issues with price alerts. This affects user experience and may impact conversion rates.,Wishlist Persistence,v2.2.2,v2.1.5,frontend.dev,sarah.wilson,2023-03-06,2023-08-13,2023-08-13,Fixed,"""favorites,notifications""",5,,SPRINT-78,Wishlist and Favorites,Database Query,Enhancement,High,Critical
ECOM-1564,Bug,Open,Low,Wishlist export not working for out of stock items,System fails to properly handle wishlist export not working for out of stock items. Multiple users have reported this issue across different browsers.,Favorites Management,v2.1.5,,,product.manager,2024-07-14,2024-11-01,,,"notifications,ui,active""",1,,SPRINT-57,Wishlist and Favorites,Configuration Issue,Data Integrity,High,High
ECOM-1565,Bug,To Do,Medium,Social login not working for new registrations,Critical functionality broken for social login not working for new registrations. This is causing customer complaints and potential revenue loss.,Account Settings,v2.1.8,,sarah.wilson,customer.support,2023-02-13,2024-01-07,,,"profile,profile,active""",3,EPIC-002,SPRINT-8,User Account Management,Error Handling,Data Integrity,Medium,Medium
ECOM-1566,Bug,In Progress,Critical,Category images not loading in different languages,System fails to properly handle category images not loading in different languages. Multiple users have reported this issue across different browsers.,Product Catalog,v2.0.9,,sarah.wilson,mobile.tester,2023-08-26,2024-04-01,,,"category,category,active""",5,,SPRINT-16,Browse Products by Category,CSS Issue,Enhancement,Medium,Low
ECOM-1567,Bug,Resolved,Medium,Wishlist items not saving for promotional items,Users experiencing issues when trying to wishlist items not saving for promotional items. This affects user experience and may impact conversion rates.,Wishlist Persistence,v2.2.2,v2.1.9,mike.johnson,business.analyst,2024-07-31,2024-10-06,2024-10-06,Fixed,"""notifications,notifications""",2,,SPRINT-64,Wishlist and Favorites,Asset Loading,Performance,Medium,Critical
ECOM-1568,Bug,Reopened,Critical,Search results not displaying correctly in different languages,Users experiencing issues when trying to search results not displaying correctly in different languages. This affects user experience and may impact conversion rates.,Search Engine,v2.1.4,,ux.team,qa.tester,2024-07-28,2024-08-11,,,"""history,search""",8,,SPRINT-21,Search for Products,Database Sync,Data Integrity,High,Medium
ECOM-1569,Bug,Reopened,Low,Payment gateway timeout for guest checkout,Inconsistent behavior observed when payment gateway timeout for guest checkout. The issue appears to be intermittent and affects certain user segments.,Email System,v2.1.4,,sarah.wilson,sarah.wilson,2023-06-16,2024-01-28,,,"""payment,order""",1,EPIC-008,SPRINT-89,Checkout and Payment,Database Query,Data Integrity,Medium,Low
ECOM-1570,Bug,Resolved,High,Search results not displaying correctly with typos in query,System fails to properly handle search results not displaying correctly with typos in query. Multiple users have reported this issue across different browsers.,Search History,v2.0.8,v2.2.2,security.team,sarah.wilson,2023-12-21,2024-05-24,2024-05-24,Duplicate,"""search,autocomplete""",3,,SPRINT-83,Search for Products,Database Sync,Data Integrity,Critical,Critical
ECOM-1571,Bug,In Progress,Critical,Product price incorrect with custom attributes,System fails to properly handle product price incorrect with custom attributes. Multiple users have reported this issue across different browsers.,Product Images,v2.2.1,,data.team,compliance.officer,2024-04-08,2024-05-15,,,"inventory,price,active""",8,,SPRINT-34,Product Management,Asset Loading,Functional,Low,High
ECOM-1572,Bug,Resolved,Low,Order confirmation problems for recurring orders,Critical functionality broken for order confirmation problems for recurring orders. This is causing customer complaints and potential revenue loss.,Order Status,v2.1.1,v2.2.2,ui.designer,finance.dept,2023-02-04,2024-03-12,2024-03-12,Cannot Reproduce,"""history,status""",2,,SPRINT-4,Order Management,Configuration Issue,Data Integrity,High,Low
ECOM-1573,Bug,In Progress,High,Add to cart button not working with promotional items,Users experiencing issues when trying to add to cart button not working with promotional items. This affects user experience and may impact conversion rates.,Cart Calculation,v2.2.1,,ux.team,ui.designer,2024-12-29,2024-12-29,,,"calculation,mobile,active""",5,,SPRINT-10,Add Products to Cart,Logic Error,Enhancement,Critical,Low
ECOM-1574,Bug,Resolved,Critical,Cart quantity not updating with promotional items,Critical functionality broken for cart quantity not updating with promotional items. This is causing customer complaints and potential revenue loss.,Cart UI,v2.0.9,v2.1.7,qa.tester,customer.support,2024-11-06,2024-11-24,2024-11-24,Won't Fix,"""ui,cart""",5,,SPRINT-51,Add Products to Cart,Database Query,Performance,Medium,Low
ECOM-1575,Bug,In Progress,Critical,Category images not loading with large product catalogs,Users experiencing issues when trying to category images not loading with large product catalogs. This affects user experience and may impact conversion rates.,Performance System,v2.1.7,,david.chen,data.analyst,2023-07-09,2024-12-04,,,"ui,ui,active""",5,,SPRINT-73,Browse Products by Category,Configuration Issue,Critical,Critical,Medium
ECOM-1576,Bug,Reopened,Low,Product description formatting issues with bulk operations,Critical functionality broken for product description formatting issues with bulk operations. This is causing customer complaints and potential revenue loss.,Product Display,v2.1.2,,john.doe,qa.tester,2023-05-27,2024-12-23,,,"""inventory,inventory""",2,,SPRINT-6,Product Management,Asset Loading,Enhancement,Critical,Low
ECOM-1577,Bug,In Progress,High,Account verification problems on mobile devices,Performance degradation noticed when account verification problems on mobile devices. Users are experiencing slow response times.,Registration System,v2.1.9,,admin.user,compliance.officer,2023-10-22,2024-06-23,,,"login,profile,active""",3,EPIC-009,SPRINT-13,User Account Management,Data Mapping,Performance,High,Medium
ECOM-1578,Bug,Resolved,Low,Order details incorrect with multiple payment options,Inconsistent behavior observed when order details incorrect with multiple payment options. The issue appears to be intermittent and affects certain user segments.,Email System,v2.1.7,v2.2.2,backend.dev,customer.support,2023-05-28,2024-08-14,2024-08-14,Cannot Reproduce,"""order,flow""",1,EPIC-008,SPRINT-98,Checkout and Payment,Error Handling,Security,Medium,High
ECOM-1579,Bug,To Do,Medium,Advanced search not functioning with special characters,Critical functionality broken for advanced search not functioning with special characters. This is causing customer complaints and potential revenue loss.,Auto-complete System,v2.1.6,,backend.dev,business.analyst,2023-06-10,2024-04-27,,,"history,filters,active""",2,,SPRINT-46,Search for Products,Calculation Error,Security,Critical,Low
ECOM-1580,Bug,In Progress,Critical,Order tracking not working for recurring orders,System fails to properly handle order tracking not working for recurring orders. Multiple users have reported this issue across different browsers.,Order Status,v2.1.5,,payment.team,ui.designer,2023-11-07,2024-04-29,,,"tracking,returns,active""",5,,SPRINT-26,Order Management,Data Mapping,Performance,Medium,Low
ECOM-1581,Bug,To Do,High,Product recommendations failing for variant products,Inconsistent behavior observed when product recommendations failing for variant products. The issue appears to be intermittent and affects certain user segments.,Inventory System,v2.1.4,,lisa.taylor,customer.support,2024-04-13,2024-11-30,,,"display,product,active""",3,,SPRINT-66,Product Management,Algorithm Issue,Security,Low,High
ECOM-1582,Bug,Resolved,Critical,Search filters not working properly in different languages,System fails to properly handle search filters not working properly in different languages. Multiple users have reported this issue across different browsers.,Search UI,v2.1.7,v2.1.0,ux.team,sarah.wilson,2024-04-26,2024-12-13,2024-12-13,Fixed,"""suggestions,suggestions""",8,,SPRINT-50,Search for Products,CSS Issue,Performance,Critical,Critical
ECOM-1583,Bug,Open,Low,Cart persistence problems from wishlist,Performance degradation noticed when cart persistence problems from wishlist. Users are experiencing slow response times.,Input Validation,v2.0.5,,,ui.designer,2024-06-19,2024-08-30,,,"mobile,mobile,active""",1,,SPRINT-7,Add Products to Cart,Data Mapping,Enhancement,Critical,Medium
ECOM-1584,Bug,Open,Critical,Search pagination issues with typos in query,Critical functionality broken for search pagination issues with typos in query. This is causing customer complaints and potential revenue loss.,Auto-complete System,v2.1.9,,,admin.user,2024-09-22,2024-12-04,,,"suggestions,history,active""",5,,SPRINT-4,Search for Products,Validation Logic,Enhancement,High,Medium
ECOM-1585,Bug,Open,High,Multiple items addition failing with multiple variants,Users experiencing issues when trying to multiple items addition failing with multiple variants. This affects user experience and may impact conversion rates.,Session Management,v2.1.0,,,finance.dept,2023-12-21,2024-07-22,,,"session,mobile,active""",3,,SPRINT-61,Add Products to Cart,Validation Logic,Functional,Medium,Medium
